				BA_1	BA_2	BA_3	BA_4	SF_1	SF_2	SF_3	SF_4
ENSBTAG00000050290	#VALUE!	-	ENSBTAG00000050290	0	0	0	0	1	0	0	0
ENSBTAG00000050291	#VALUE!	-	ENSBTAG00000050291	0	0	0	0	0	0	0	0
ENSBTAG00000050292	#VALUE!	-	ENSBTAG00000050292	0	0	0	0	0	0	0	0
ENSBTAG00000050293_OR4D2F	OR4D2F	OR4D2F	OR4D2F	0	0	0	0	0	0	0	0
ENSBTAG00000050294	#VALUE!	-	ENSBTAG00000050294	0	0	0	0	0	4	0	0
ENSBTAG00000050295_OR51A4	OR51A4	OR51A4	OR51A4	0	0	0	0	0	0	0	0
ENSBTAG00000050296_IFNL3	IFNL3	IFNL3	IFNL3	0	0	0	0	0	0	0	0
ENSBTAG00000050297	#VALUE!	-	ENSBTAG00000050297	0	3	0	0	0	2	0	0
ENSBTAG00000050298	#VALUE!	-	ENSBTAG00000050298	0	0	0	0	0	0	0	0
ENSBTAG00000050299	#VALUE!	-	ENSBTAG00000050299	0	0	0	0	0	0	0	0
ENSBTAG00000050300_OR7A94	OR7A94	OR7A94	OR7A94	0	0	0	0	0	0	1	0
ENSBTAG00000050301	#VALUE!	-	ENSBTAG00000050301	0	1.01	0	0	2	1	1	0
ENSBTAG00000050302	#VALUE!	-	ENSBTAG00000050302	0	0	0	0	0	0	0	0
ENSBTAG00000050303_5S_rRNA	5S_rRNA	5S_rRNA	5S_rRNA	0	0	0	0	0	0	0	0
ENSBTAG00000050304	#VALUE!	-	ENSBTAG00000050304	0	0	0	0	0	0	0	0
ENSBTAG00000050305_5S_rRNA	5S_rRNA	5S_rRNA	5S_rRNA	0	0	0	0	0	0	0	0
ENSBTAG00000050306_OR4A47U	OR4A47U	OR4A47U	OR4A47U	2	0	0	0	0	0	0	0
ENSBTAG00000050307	#VALUE!	-	ENSBTAG00000050307	0	0	0	0	0	0	0	0
ENSBTAG00000050308	#VALUE!	-	ENSBTAG00000050308	0	0	0	0	0	0	0	0
ENSBTAG00000050309	#VALUE!	-	ENSBTAG00000050309	0	0	0	0	0	0	0	0
ENSBTAG00000050310	#VALUE!	-	ENSBTAG00000050310	0	0	0	0	0	0	0	0
ENSBTAG00000050311	#VALUE!	-	ENSBTAG00000050311	0	0	0	0	0	0	0	0
ENSBTAG00000050312	#VALUE!	-	ENSBTAG00000050312	0	0	0	0	0	0	0	0
ENSBTAG00000050313	#VALUE!	-	ENSBTAG00000050313	0	1	0	2	0	1	0	0
ENSBTAG00000050314	#VALUE!	-	ENSBTAG00000050314	0	0	0	0	0	0	0	0
ENSBTAG00000050315	#VALUE!	-	ENSBTAG00000050315	0	0	0	0	0	0	0	0
ENSBTAG00000050316_bta-mir-2404-2	bta-mir-2404-2	bta-mir-2404-2	bta-mir-2404-2	0	0	0	0	0	0	0	1
ENSBTAG00000050317_MRPL36	MRPL36	MRPL36	MRPL36	11	23	45	46	7	24	13	16
ENSBTAG00000050318	#VALUE!	-	ENSBTAG00000050318	0	0	0	0	0	0	0	0
ENSBTAG00000050319	#VALUE!	-	ENSBTAG00000050319	89	86	103	100	90	38	62	61
ENSBTAG00000050320	#VALUE!	-	ENSBTAG00000050320	0	0	0	0	0	0	0	0
ENSBTAG00000050321	#VALUE!	-	ENSBTAG00000050321	0	0	0	0	0	0	0	0
ENSBTAG00000050322	#VALUE!	-	ENSBTAG00000050322	2.67	5.18	4.07	1.24	2.75	1.25	5.59	0
ENSBTAG00000050323	#VALUE!	-	ENSBTAG00000050323	0	0	0	0	0	0	0	0
ENSBTAG00000050324	#VALUE!	-	ENSBTAG00000050324	0	0	0	0	0	0	0	0
ENSBTAG00000050325_bta-mir-2285bw	bta-mir-2285bw	bta-mir-2285bw	bta-mir-2285bw	0	0	0	0	0	0	0	0
ENSBTAG00000050326_OR6E1	OR6E1	OR6E1	OR6E1	0	0	0	0	0	0	0	0
ENSBTAG00000050327	#VALUE!	-	ENSBTAG00000050327	0	0	0	0	0	0	0	0
ENSBTAG00000050328_TAS2R60	TAS2R60	TAS2R60	TAS2R60	0	0	0	0	0	0	0	0
ENSBTAG00000050329	#VALUE!	-	ENSBTAG00000050329	0	0	0	0	0	0	0	0
ENSBTAG00000050330_U6	U6	U6	U6	0	0	0	0	0	0	0	0
ENSBTAG00000050331	#VALUE!	-	ENSBTAG00000050331	0	0	0	3	0	0	0	0
ENSBTAG00000050332	#VALUE!	-	ENSBTAG00000050332	1	4	1	6	4	0	1	0
ENSBTAG00000050333_PROKR1	PROKR1	PROKR1	PROKR1	0	9	0	0	0	0	0	0
ENSBTAG00000050334_CD83	CD83	CD83	CD83	35	5	7	39	14	0	0	16
ENSBTAG00000050335	#VALUE!	-	ENSBTAG00000050335	0	0	0	1	0	0	0	0
ENSBTAG00000050336	#VALUE!	-	ENSBTAG00000050336	0	0	0	0	0	0	0	0
ENSBTAG00000050337	#VALUE!	-	ENSBTAG00000050337	0	0	0	0	0	0	0	0
ENSBTAG00000050338	#VALUE!	-	ENSBTAG00000050338	0	0	0	0	0	0	0	0
ENSBTAG00000050339	#VALUE!	-	ENSBTAG00000050339	0	0	0	4	0	3	6	0
ENSBTAG00000050340	#VALUE!	-	ENSBTAG00000050340	0	0	0	0	0	0	0	0
ENSBTAG00000050341	#VALUE!	-	ENSBTAG00000050341	0	0	0	2	0	0	0	0
ENSBTAG00000050342	#VALUE!	-	ENSBTAG00000050342	0	0	0	0	0	0	0	0
ENSBTAG00000050343_bta-mir-12015	bta-mir-12015	bta-mir-12015	bta-mir-12015	0	0	0	0	0	0	0	0
ENSBTAG00000050344_SNORA73	SNORA73	SNORA73	SNORA73	0	0	0	0	0	0	0	0
ENSBTAG00000050345	#VALUE!	-	ENSBTAG00000050345	0	1	0	0	0	0	0	0
ENSBTAG00000050346	#VALUE!	-	ENSBTAG00000050346	0	0	0	0	0	0	0	0
ENSBTAG00000050347_MAML1	MAML1	MAML1	MAML1	17	51	55	44	1	14	33	16
ENSBTAG00000050348	#VALUE!	-	ENSBTAG00000050348	0	1	0	0	1	0	0	1
ENSBTAG00000050349	#VALUE!	-	ENSBTAG00000050349	0	0	0	0	0	0	0	0
ENSBTAG00000050350_bta-mir-6522	bta-mir-6522	bta-mir-6522	bta-mir-6522	0	0	0	0	0	0	0	0
ENSBTAG00000050351	#VALUE!	-	ENSBTAG00000050351	0	0	0	0	0	0	0	0
ENSBTAG00000050352	#VALUE!	-	ENSBTAG00000050352	0	0	0	0	0	0	0	0
ENSBTAG00000050353	#VALUE!	-	ENSBTAG00000050353	0	0	0	0	0	0	0	0
ENSBTAG00000050354	#VALUE!	-	ENSBTAG00000050354	0	0	0	0	0	0	0	0
ENSBTAG00000050355	#VALUE!	-	ENSBTAG00000050355	0	0	0	0	0	0	0	0
ENSBTAG00000050356	#VALUE!	-	ENSBTAG00000050356	0	0	0	0	0	0	0	0
ENSBTAG00000050357	#VALUE!	-	ENSBTAG00000050357	0	0	0	2	0	0	0	0
ENSBTAG00000050358_U6	U6	U6	U6	0	0	0	0	0	0	0	0
ENSBTAG00000050359	#VALUE!	-	ENSBTAG00000050359	11	15	12	1	25	27	3	9
ENSBTAG00000050360	#VALUE!	-	ENSBTAG00000050360	0	0	0	0	0	0	0	0
ENSBTAG00000050361	#VALUE!	-	ENSBTAG00000050361	0	0	0	0	0	0	0	0
ENSBTAG00000050362	#VALUE!	-	ENSBTAG00000050362	0	0	0	0	0	0	1	0
ENSBTAG00000050363	#VALUE!	-	ENSBTAG00000050363	0	2	0	0	0	0	0	0
ENSBTAG00000050364_OR2A62	OR2A62	OR2A62	OR2A62	0	0	0	0	0	0	0	0
ENSBTAG00000050365	#VALUE!	-	ENSBTAG00000050365	0	0	0	0	0	0	0	0
ENSBTAG00000050366_bta-mir-2404-1	bta-mir-2404-1	bta-mir-2404-1	bta-mir-2404-1	0	0	0	0	0	0	0	0
ENSBTAG00000050367_OR51A49	OR51A49	OR51A49	OR51A49	0	0	0	0	0	0	0	0
ENSBTAG00000050368_SNORD116	SNORD116	SNORD116	SNORD116	0	0	0	0	0	0	0	0
ENSBTAG00000050369	#VALUE!	-	ENSBTAG00000050369	0	0	0	0	0	0	0	0
ENSBTAG00000050370_bta-mir-7857-2	bta-mir-7857-2	bta-mir-7857-2	bta-mir-7857-2	0	0	0	0	0	0	0	0
ENSBTAG00000050371	#VALUE!	-	ENSBTAG00000050371	0	0	0	0	0	0	0	0
ENSBTAG00000050372_OR8K60	OR8K60	OR8K60	OR8K60	1	0	0	0	0	0	2	0
ENSBTAG00000050373	#VALUE!	-	ENSBTAG00000050373	0	0	6	0	0	0	1	0
ENSBTAG00000050374_SNORD22	SNORD22	SNORD22	SNORD22	0	0	0	0.98	0.65	0	0	0
ENSBTAG00000050375_U6	U6	U6	U6	0	0	0	0	0	0	0	0
ENSBTAG00000050376	#VALUE!	-	ENSBTAG00000050376	0	0	0	0	0	0	0	0
ENSBTAG00000050377	#VALUE!	-	ENSBTAG00000050377	1888.85	1453.96	1639.26	1852.1	842.61	565.33	762.01	486.78
ENSBTAG00000050378	#VALUE!	-	ENSBTAG00000050378	0	1	0	0	0	0	0	0
ENSBTAG00000050379_U6	U6	U6	U6	0	0	0	0	0	0	0	0
ENSBTAG00000050380_KCTD1	KCTD1	KCTD1	KCTD1	376	248	693	267	238	204	485	228
ENSBTAG00000050381_OR6C1N	OR6C1N	OR6C1N	OR6C1N	0	0	0	0	0	0	0	0
ENSBTAG00000050382_LRCH2	LRCH2	LRCH2	LRCH2	0	0	0	0	0	0	0	0
ENSBTAG00000050383	#VALUE!	-	ENSBTAG00000050383	0	0	0	0	0	0	0	0
ENSBTAG00000050384	#VALUE!	-	ENSBTAG00000050384	0	0	0	0	0	1	0	0
ENSBTAG00000050385	#VALUE!	-	ENSBTAG00000050385	27.26	25.24	7.59	32.89	0	6.74	1.14	1.05
ENSBTAG00000050386_MGMT	MGMT	MGMT	MGMT	6	16	10	22	1	4	7	2
ENSBTAG00000050387	#VALUE!	-	ENSBTAG00000050387	4	1	3	10	9	13	3	4
ENSBTAG00000050388_KRBA2	KRBA2	KRBA2	KRBA2	0	9	3	19	0	9	0	8
ENSBTAG00000050389	#VALUE!	-	ENSBTAG00000050389	0	0	0	0	0	0	1	1
ENSBTAG00000050390_OR51G2	OR51G2	OR51G2	OR51G2	0	0	0	0	0	0	0	0
ENSBTAG00000050391	#VALUE!	-	ENSBTAG00000050391	0	0	0	2	0	0	0	0
ENSBTAG00000050392_FAM171B	FAM171B	FAM171B	FAM171B	0	0	0	0	2	0	0	0
ENSBTAG00000050393	#VALUE!	-	ENSBTAG00000050393	0	0	0	0	0	0	0	0
ENSBTAG00000050394_OR1A1D	OR1A1D	OR1A1D	OR1A1D	0	0	0	0	1	0	0	0
ENSBTAG00000050395	#VALUE!	-	ENSBTAG00000050395	5	0	0	1	0	1	0	1
ENSBTAG00000050396	#VALUE!	-	ENSBTAG00000050396	0	0	0	0	0	0	0	0
ENSBTAG00000050397_OR8K66	OR8K66	OR8K66	OR8K66	0	0	0	0	0	0	0	0
ENSBTAG00000050398	#VALUE!	-	ENSBTAG00000050398	0	0	0	0	0	0	0	0
ENSBTAG00000050399	#VALUE!	-	ENSBTAG00000050399	0	0	0	0	0	0	0	0
ENSBTAG00000050400_OR9M1D	OR9M1D	OR9M1D	OR9M1D	0	0	0	5	0	1	0	0
ENSBTAG00000050401_U6	U6	U6	U6	0	0	0	0	0	0	0	0
ENSBTAG00000050402	#VALUE!	-	ENSBTAG00000050402	0	0	0	0	0	0	0	0
ENSBTAG00000050403_ODAPH	ODAPH	ODAPH	ODAPH	0	0	0	0	0	0	0	0
ENSBTAG00000050404_U6	U6	U6	U6	0	0	0	0	0	0	0	0
ENSBTAG00000050405	#VALUE!	-	ENSBTAG00000050405	0	0	0	0	0	0	0	0
ENSBTAG00000050406	#VALUE!	-	ENSBTAG00000050406	0	0	0	0	0	0	0	0
ENSBTAG00000050407	#VALUE!	-	ENSBTAG00000050407	0	5	0	19	0	1	1	0
ENSBTAG00000050408	#VALUE!	-	ENSBTAG00000050408	0	0	0	0	0	0	0	0
ENSBTAG00000050409	#VALUE!	-	ENSBTAG00000050409	0	0	0	0	0	0	0	0
ENSBTAG00000050410	#VALUE!	-	ENSBTAG00000050410	0	0	0	0	0	0	0	0
ENSBTAG00000050411_OR5P1	OR5P1	OR5P1	OR5P1	0	0	0	0	0	0	0	0
ENSBTAG00000050412_U6	U6	U6	U6	0	0	0	0	0	0	0	0
ENSBTAG00000050413	#VALUE!	-	ENSBTAG00000050413	0	0	0	0	0	0	0	0
ENSBTAG00000050414	#VALUE!	-	ENSBTAG00000050414	0	0	0	0.72	0	5.26	1.06	1.05
ENSBTAG00000050415	#VALUE!	-	ENSBTAG00000050415	0	0	0	0	0	0	0	0
ENSBTAG00000050416_OR51L1B	OR51L1B	OR51L1B	OR51L1B	0	0	0	0	0	0	0	0
ENSBTAG00000050417	#VALUE!	-	ENSBTAG00000050417	0	0	0	6	0	0	0	0
ENSBTAG00000050418	#VALUE!	-	ENSBTAG00000050418	0	0	0	0	0	0	0	0
ENSBTAG00000050419	#VALUE!	-	ENSBTAG00000050419	0	0	0	0	0	0	0	0
ENSBTAG00000050420	#VALUE!	-	ENSBTAG00000050420	2	2	3	0	0	0	0	0
ENSBTAG00000050421	#VALUE!	-	ENSBTAG00000050421	0	0	0	0	0	0	0	0
ENSBTAG00000050422	#VALUE!	-	ENSBTAG00000050422	0	0	0	0	0	0	0	0
ENSBTAG00000050423	#VALUE!	-	ENSBTAG00000050423	0	0	0	0	0	0	0	0
ENSBTAG00000050424	#VALUE!	-	ENSBTAG00000050424	0	0	2	0	0	0	2	0
ENSBTAG00000050425_U6	U6	U6	U6	0	0	0	0	0	0	0	0
ENSBTAG00000050426_MVB12B	MVB12B	MVB12B	MVB12B	6	11	12	13	0	1	0	1
ENSBTAG00000050427	#VALUE!	-	ENSBTAG00000050427	0	0	0	0	0	0	0	9
ENSBTAG00000050428	#VALUE!	-	ENSBTAG00000050428	0	0	0	0	0	0	0	0
ENSBTAG00000050429_5S_rRNA	5S_rRNA	5S_rRNA	5S_rRNA	0	0	0	0	0	0	0	0
ENSBTAG00000050430_OR5H28	OR5H28	OR5H28	OR5H28	0	0	0	0	0	0	0	0
ENSBTAG00000050431	#VALUE!	-	ENSBTAG00000050431	0	0	0	0	0	0	18	3
ENSBTAG00000050432	#VALUE!	-	ENSBTAG00000050432	0	0	0	0	0	0	0	0
ENSBTAG00000050433_OR4L18	OR4L18	OR4L18	OR4L18	0	0	2	0	0	0	0	0
ENSBTAG00000050434	#VALUE!	-	ENSBTAG00000050434	0	0	0	0	0	0	0	0
ENSBTAG00000050435	#VALUE!	-	ENSBTAG00000050435	30.13	12.08	15.34	8.91	8.36	0	12.62	5.31
ENSBTAG00000050436	#VALUE!	-	ENSBTAG00000050436	0	0	0	0	0	0	0	0
ENSBTAG00000050437	#VALUE!	-	ENSBTAG00000050437	0	0	0	0	0	0	0	0
ENSBTAG00000050438	#VALUE!	-	ENSBTAG00000050438	31	19	12	0	1	2	0	0
ENSBTAG00000050439	#VALUE!	-	ENSBTAG00000050439	0	0	0	0	0	0	0	0
ENSBTAG00000050440_PAG20	PAG20	PAG20	PAG20	0	0	0	0	0	0	0	0
ENSBTAG00000050441_U6	U6	U6	U6	0	0	0	0	0	0	0	0
ENSBTAG00000050442_U6	U6	U6	U6	0	0	0	0	0	0	0	0
ENSBTAG00000050443	#VALUE!	-	ENSBTAG00000050443	1	0	0	2	0	0	0	0
ENSBTAG00000050444_U1	U1	U1	U1	0	0	0	0	0	0	0	0
ENSBTAG00000050445_RAB44	RAB44	RAB44	RAB44	0	0	0	0	0	0	0	0
ENSBTAG00000050446	#VALUE!	-	ENSBTAG00000050446	0	0	0	0	0	0	0	0
ENSBTAG00000050447	#VALUE!	-	ENSBTAG00000050447	0	0	0	2	0	0	0	0
ENSBTAG00000050448	#VALUE!	-	ENSBTAG00000050448	0	0	0	0	0	0	0	0
ENSBTAG00000050449	#VALUE!	-	ENSBTAG00000050449	0	0	0	0	0	0	0	0
ENSBTAG00000050450	#VALUE!	-	ENSBTAG00000050450	0	0	0	0	0	0	0	0
ENSBTAG00000050451	#VALUE!	-	ENSBTAG00000050451	0	0	0	0	1	0	0	0
ENSBTAG00000050452	#VALUE!	-	ENSBTAG00000050452	0	0	2	6	0	0	0	1
ENSBTAG00000050453	#VALUE!	-	ENSBTAG00000050453	31	34	36	34	12	25	7	20
ENSBTAG00000050454	#VALUE!	-	ENSBTAG00000050454	0	0	0	1	0	0	0	0
ENSBTAG00000050455	#VALUE!	-	ENSBTAG00000050455	0	0	0	0	0	0	0	0
ENSBTAG00000050456_U6	U6	U6	U6	0	0	0	0	0	0	0	0
ENSBTAG00000050457	#VALUE!	-	ENSBTAG00000050457	0	0	2.02	0	0	0	0	1.01
ENSBTAG00000050458_U6	U6	U6	U6	0	0	0	0	0	0	0	0
ENSBTAG00000050459_FAM222A	FAM222A	FAM222A	FAM222A	0	0	1	0	0	0	0	0
ENSBTAG00000050460	#VALUE!	-	ENSBTAG00000050460	0	0	0	0	0	0	0	0
ENSBTAG00000050461_bta-mir-2285n-3	bta-mir-2285n-3	bta-mir-2285n-3	bta-mir-2285n-3	0	0	0	0	0	0	0	0
ENSBTAG00000050462	#VALUE!	-	ENSBTAG00000050462	2	0	1	0	2	0	1	1
ENSBTAG00000050463_bta-mir-2284v	bta-mir-2284v	bta-mir-2284v	bta-mir-2284v	0	0	0	0	0	0	0	0
ENSBTAG00000050464_OR13C2	OR13C2	OR13C2	OR13C2	0	0	0	0	0	0	0	0
ENSBTAG00000050465	#VALUE!	-	ENSBTAG00000050465	0	0	0	0	0	0	0	0
ENSBTAG00000050466	#VALUE!	-	ENSBTAG00000050466	0	0	0	0	0	0	0	0
ENSBTAG00000050467	#VALUE!	-	ENSBTAG00000050467	21	15	11	39	27	7	31	8
ENSBTAG00000050468_IFNB3	IFNB3	IFNB3	IFNB3	0	0	0	0	0	0	0	0
ENSBTAG00000050469	#VALUE!	-	ENSBTAG00000050469	0	0	0	0	0	0	0	0
ENSBTAG00000050470	#VALUE!	-	ENSBTAG00000050470	0	0	0	0	0	0	0	0
ENSBTAG00000050471	#VALUE!	-	ENSBTAG00000050471	179.9	96.5	19.41	428.72	136.57	92.57	51.51	192.58
ENSBTAG00000050472_OR7A103	OR7A103	OR7A103	OR7A103	0	0	0	0	0	2	0	0
ENSBTAG00000050473_PRR16	PRR16	PRR16	PRR16	0	5	0	0	3	0	0	0
ENSBTAG00000050474_RUNX3	RUNX3	RUNX3	RUNX3	3	6	2	4	1	2	0	1
ENSBTAG00000050475_U6	U6	U6	U6	0	0	0	0	0	0	0	0
ENSBTAG00000050476	#VALUE!	-	ENSBTAG00000050476	1	2	5	4	0	1	3	0
ENSBTAG00000050477_H3C3	H3C3	H3C3	H3C3	7.14	2.46	7.74	6	3	0	0	0
ENSBTAG00000050478	#VALUE!	-	ENSBTAG00000050478	3	4	8	3	0	0	3	0
ENSBTAG00000050479	#VALUE!	-	ENSBTAG00000050479	77	37	70	81	9	12	27	12
ENSBTAG00000050480_OR6C269	OR6C269	OR6C269	OR6C269	0	0	0	0	0	0	0	0
ENSBTAG00000050481	#VALUE!	-	ENSBTAG00000050481	0	0	0	0	1	0	0	0
ENSBTAG00000050482_ZNF148	ZNF148	ZNF148	ZNF148	73	45	69	10	23	38	94	18
ENSBTAG00000050483	#VALUE!	-	ENSBTAG00000050483	0	0	0	0	0	0	0	0
ENSBTAG00000050484	#VALUE!	-	ENSBTAG00000050484	0	0	0	0	0	0	0	0
ENSBTAG00000050485	#VALUE!	-	ENSBTAG00000050485	1.5	0	19.5	0	8.5	0	0	0
ENSBTAG00000050486	#VALUE!	-	ENSBTAG00000050486	0	0	0	0	0	0	0	0
ENSBTAG00000050487	#VALUE!	-	ENSBTAG00000050487	0	0	0	0	1	0	0	0
ENSBTAG00000050488	#VALUE!	-	ENSBTAG00000050488	0	0	0	0	0	0	0	0
ENSBTAG00000050489	#VALUE!	-	ENSBTAG00000050489	0	0	0	0	0	0	0	0
ENSBTAG00000050490_bta-mir-12046	bta-mir-12046	bta-mir-12046	bta-mir-12046	0	0	0	0	0	0	0	0
ENSBTAG00000050491_SNORD62	SNORD62	SNORD62	SNORD62	0	0	0	0	0	0	0	0
ENSBTAG00000050492	#VALUE!	-	ENSBTAG00000050492	0	0	0	0	0	0	0	0
ENSBTAG00000050493	#VALUE!	-	ENSBTAG00000050493	1	3	1	0	0	0	0	0
ENSBTAG00000050494	#VALUE!	-	ENSBTAG00000050494	0	0	0	0	0	0	0	0
ENSBTAG00000050495_GREM1	GREM1	GREM1	GREM1	6	2	2	8	0	0	0	0
ENSBTAG00000050496	#VALUE!	-	ENSBTAG00000050496	0	0	0	0	1.47	0	0	0
ENSBTAG00000050497	#VALUE!	-	ENSBTAG00000050497	0	0	0	0	0	0	0	0
ENSBTAG00000050498	#VALUE!	-	ENSBTAG00000050498	0	0	0	0	0	0	0	0
ENSBTAG00000050499	#VALUE!	-	ENSBTAG00000050499	0	0	0	0	0	0	1	0
ENSBTAG00000050500_bta-mir-2345	bta-mir-2345	bta-mir-2345	bta-mir-2345	0	0	0	0	0	0	0	0
ENSBTAG00000050501	#VALUE!	-	ENSBTAG00000050501	0	0	0	0	0	0	0	0
ENSBTAG00000050502	#VALUE!	-	ENSBTAG00000050502	0	0	0	0	0	0	0	0
ENSBTAG00000050503	#VALUE!	-	ENSBTAG00000050503	0	0	0	0	0	0	0	0
ENSBTAG00000050504_ARX	ARX	ARX	ARX	0	0	0	0	0	0	0	0
ENSBTAG00000050505	#VALUE!	-	ENSBTAG00000050505	1	0	0	0	0	2	0	0
ENSBTAG00000050506	#VALUE!	-	ENSBTAG00000050506	0	0	0	0	0	0	0	0
ENSBTAG00000050507_OR2B7	OR2B7	OR2B7	OR2B7	0	0	0	0	1	0	0	0
ENSBTAG00000050508	#VALUE!	-	ENSBTAG00000050508	0	0	0	0	0	0	0	0
ENSBTAG00000050509	#VALUE!	-	ENSBTAG00000050509	0	0	0	1	0	0	0	0
ENSBTAG00000050510	#VALUE!	-	ENSBTAG00000050510	0	1.85	2	5	0	2	0	0
ENSBTAG00000050511_OR10G9G	OR10G9G	OR10G9G	OR10G9G	0	0	0	0	0	0	0	0
ENSBTAG00000050512	#VALUE!	-	ENSBTAG00000050512	0	0	0	0	0	0	0	0
ENSBTAG00000050513	#VALUE!	-	ENSBTAG00000050513	0	0	0	0	0	0	0	0
ENSBTAG00000050514_ELOC	ELOC	ELOC	ELOC	1476	853	1071	964	884	640	747	752
ENSBTAG00000050515	#VALUE!	-	ENSBTAG00000050515	0	0	0	0	0	0	0	0
ENSBTAG00000050516_OR4G9	OR4G9	OR4G9	OR4G9	0	0	0	0	0	0	0	0
ENSBTAG00000050517_bta-mir-11999	bta-mir-11999	bta-mir-11999	bta-mir-11999	0	0	0	0	0	0	0	0
ENSBTAG00000050518	#VALUE!	-	ENSBTAG00000050518	0	0	0	0	0	0	0	0
ENSBTAG00000050519	#VALUE!	-	ENSBTAG00000050519	0	0	0	0	0	0	0	0
ENSBTAG00000050520_OR10A3HP	OR10A3HP	OR10A3HP	OR10A3HP	0	0	0	0	0	0	0	0
ENSBTAG00000050521_bta-mir-12013	bta-mir-12013	bta-mir-12013	bta-mir-12013	0	0	0	0	0	0	0	0
ENSBTAG00000050522	#VALUE!	-	ENSBTAG00000050522	0	0	0	0	0	0	0	0
ENSBTAG00000050523_POU3F3	POU3F3	POU3F3	POU3F3	0	0	0	0	0	0	0	0
ENSBTAG00000050524	#VALUE!	-	ENSBTAG00000050524	4	0	8	0	8	1	0	1
ENSBTAG00000050525_U6	U6	U6	U6	0	0	0	0	0	0	0	0
ENSBTAG00000050526	#VALUE!	-	ENSBTAG00000050526	0	4	6	4	4	0	0	0
ENSBTAG00000050527	#VALUE!	-	ENSBTAG00000050527	0	0	2	5	12	2	63	27
ENSBTAG00000050528	#VALUE!	-	ENSBTAG00000050528	0	0	0	0	0	0	0	0
ENSBTAG00000050529	#VALUE!	-	ENSBTAG00000050529	0	0	0	0	0	0	0	0
ENSBTAG00000050530	#VALUE!	-	ENSBTAG00000050530	0	1	0	0	0	0	0	0
ENSBTAG00000050531	#VALUE!	-	ENSBTAG00000050531	0	0	0	0	0	0	0	0
ENSBTAG00000050532_H2BC14	H2BC14	H2BC14	H2BC14	2.1	0	2.85	0	1.79	0	1.01	0
ENSBTAG00000050533	#VALUE!	-	ENSBTAG00000050533	0	0	0	0	1	0	0	0
ENSBTAG00000050534	#VALUE!	-	ENSBTAG00000050534	1	0	0	0	1	1	0	0
ENSBTAG00000050535_ZNF385D	ZNF385D	ZNF385D	ZNF385D	0	1	0	0	2	1	0	4
ENSBTAG00000050536	#VALUE!	-	ENSBTAG00000050536	2	0	0	0	0	0	0	0
ENSBTAG00000050537	#VALUE!	-	ENSBTAG00000050537	0	0	0	0	0	0	0	0
ENSBTAG00000050538	#VALUE!	-	ENSBTAG00000050538	0	3	0	0	0	0	0	0
ENSBTAG00000050539_OR1A1	OR1A1	OR1A1	OR1A1	0	0	0	0	0	0	0	0
ENSBTAG00000050540	#VALUE!	-	ENSBTAG00000050540	5	0	3.02	2.03	3	1.01	1.03	2
ENSBTAG00000050541_U6	U6	U6	U6	0	0	0	0	0	0	0	0
ENSBTAG00000050542	#VALUE!	-	ENSBTAG00000050542	0	0	0	0	0	0	0	0
ENSBTAG00000050543_OR5K19	OR5K19	OR5K19	OR5K19	0	0	0	0	0	0	0	0
ENSBTAG00000050544	#VALUE!	-	ENSBTAG00000050544	0	0	0	0	0	0	0	0
ENSBTAG00000050545_U6	U6	U6	U6	0	0	0	0	0	0	0	0
ENSBTAG00000050546_OR8AR1	OR8AR1	OR8AR1	OR8AR1	0	0	0	0	0	0	0	0
ENSBTAG00000050547_OR2Z11	OR2Z11	OR2Z11	OR2Z11	0	0	0	0	0	0	0	0
ENSBTAG00000050548	#VALUE!	-	ENSBTAG00000050548	0	0	1	0	0	0	0	0
ENSBTAG00000050549_KLHL11	KLHL11	KLHL11	KLHL11	44	122	81	62.52	24	64	12	43
ENSBTAG00000050550_FAM110B	FAM110B	FAM110B	FAM110B	0	0	0	0	0	0	0	0
ENSBTAG00000050551_OR10H4N	OR10H4N	OR10H4N	OR10H4N	0	0	0	0	0	0	0	0
ENSBTAG00000050552_U6	U6	U6	U6	0	0	0	0	0	0	0	0
ENSBTAG00000050553	#VALUE!	-	ENSBTAG00000050553	0	0	0	0	0	0	0	0
ENSBTAG00000050554	#VALUE!	-	ENSBTAG00000050554	1.07	0	0	0	0	0	0	0
ENSBTAG00000050555	#VALUE!	-	ENSBTAG00000050555	0	0	0	0	0	0	0	0
ENSBTAG00000050556	#VALUE!	-	ENSBTAG00000050556	0	0	0	0	0	0	0	0
ENSBTAG00000050557	#VALUE!	-	ENSBTAG00000050557	0	0	0	0	0	0	0	0
ENSBTAG00000050558_5S_rRNA	5S_rRNA	5S_rRNA	5S_rRNA	0	0	0	0	0	0	0	0
ENSBTAG00000050559	#VALUE!	-	ENSBTAG00000050559	0	0	0	0	0	0	0	0
ENSBTAG00000050560	#VALUE!	-	ENSBTAG00000050560	0	0	0	0	0	0	0	0
ENSBTAG00000050561	#VALUE!	-	ENSBTAG00000050561	0	0	0	0	0	0	0	0
ENSBTAG00000050562	#VALUE!	-	ENSBTAG00000050562	17.28	7	23.21	4.01	6	24.35	29.8	24.8
ENSBTAG00000050563	#VALUE!	-	ENSBTAG00000050563	0	0	0	0	0	0	1	0
ENSBTAG00000050564	#VALUE!	-	ENSBTAG00000050564	0	0	0	0	0	0	0	0
